city,state_id,state_name,county_fips,county_name,zips
Resaca,GA,Georgia,13129,Gordon,30735 30701
Key Colony Beach,FL,Florida,12087,Monroe,33051
West Middlesex,PA,Pennsylvania,42085,Mercer,16159
Arapaho,OK,Oklahoma,40039,Custer,73620
San Ildefonso Pueblo,NM,New Mexico,35049,Santa Fe,87506
Parker,PA,Pennsylvania,42005,Armstrong,16049
Bethany,WV,West Virginia,54009,Brooke,26032
Piedmont,WV,West Virginia,54057,Mineral,26750
Stamping Ground,KY,Kentucky,21209,Scott,40379
Morse,LA,Louisiana,22001,Acadia,70559
Flordell Hills,MO,Missouri,29189,St. Louis,63136
